,game_id,mp_date,season,home_team,away_team,home_odds,away_odds,home_goals,away_goals,home_win,settled_in,CF%,CSh%,CSv%,FF%,FSh%,FSv%,GDiff,GF%,PDO,PENDiff,SF%,SDiff,Sh%,Sv
10096,2016020241.0,20161115.0,20162017.0,VAN,NYR,170.0,-200.0,2.0,7.0,0.0,REG,0.990000000000002,-3.749563242487771,-1.5652467102356238,-1.6900000000000048,-4.60482730661604,-1.8177655677655613,-2.71,-23.85,-9.329999999999998,-8.0,-0.5399999999999991,-0.6199999999999974,-6.763931372595369,-2.5700000000000074
10097,2016020242.0,20161115.0,20162017.0,ANA,EDM,-145.0,125.0,4.0,1.0,1.0,REG,-0.5,-0.164651402109596,-0.0714348273521459,-0.21000000000000085,-0.3405850048318282,-0.051203277009725934,-0.1800000000000006,-1.7100000000000009,-0.5700000000000074,-4.0,-0.0799999999999983,-0.120000000000001,-0.14011877152294572,-0.4299999999999926
10098,2016020243.0,20161116.0,20162017.0,WSH,PIT,-120.0,100.0,7.0,1.0,1.0,REG,3.690000000000005,-0.7850600371518357,-0.3009382948254813,1.3099999999999952,-0.8275496433391171,-0.04517943048677475,-0.26000000000000023,-2.0700000000000003,-1.7800000000000011,5.0,3.1299999999999955,3.6899999999999977,-1.1328877308258753,-0.6500000000000057
10099,2016020244.0,20161116.0,20162017.0,CGY,ARI,-135.0,115.0,2.0,1.0,1.0,OT,2.299999999999997,-0.533539671979405,-0.5378464714934084,3.279999999999994,-0.7980669105278622,-0.9283569283569326,-0.23999999999999932,-2.8100000000000023,-2.769999999999996,-9.0,4.199999999999996,5.040000000000003,-1.3769257209109056,-1.4000000000000057
10100,2016020245.0,20161117.0,20162017.0,BUF,TBL,150.0,-170.0,1.0,4.0,0.0,REG,-4.160000000000004,-1.9038445376793132,0.6218104772968802,-4.439999999999998,-2.5345386320996073,0.8820792754791862,-1.0499999999999998,-11.160000000000004,-2.6500000000000057,-24.0,-3.1799999999999997,-3.669999999999998,-3.5548958438160416,0.9000000000000057
10101,2016020246.0,20161117.0,20162017.0,PHI,WPG,-127.0,107.0,5.0,2.0,1.0,REG,4.369999999999997,-0.37144071398215045,-1.4115436207369436,5.939999999999998,-0.5775025108804815,-2.370478983382218,-0.42999999999999927,-3.6300000000000026,-3.8700000000000045,7.0,5.160000000000004,5.760000000000002,-0.2546170559478547,-3.6099999999999994
10102,2016020247.0,20161117.0,20162017.0,TOR,FLA,-105.0,-115.0,6.0,1.0,1.0,REG,-4.609999999999999,0.25171680637356697,-0.27172399827878335,-4.700000000000003,0.5796944832537003,-0.5923202614379064,-0.56,-4.589999999999996,-0.7099999999999937,-7.0,-2.789999999999999,-3.3900000000000006,0.5806812705026365,-1.2900000000000063
10103,2016020248.0,20161117.0,20162017.0,OTT,NSH,-113.0,-107.0,1.0,5.0,0.0,REG,-1.5999999999999943,-0.7901990263459335,0.8117422452236012,1.0700000000000003,-1.26933377056348,0.714979685567918,-0.1200000000000001,-1.3900000000000006,-0.5499999999999972,-10.0,0.4299999999999997,0.5000000000000036,-1.9912280701754381,1.4500000000000028
10104,2016020249.0,20161117.0,20162017.0,STL,SJS,-113.0,-107.0,3.0,2.0,1.0,REG,0.46000000000000085,0.4633935913508851,-1.4304122465496505,0.1600000000000037,0.3739314023568252,-1.6005787161076035,-0.41000000000000014,-4.089999999999996,-1.3900000000000006,-17.0,-0.6700000000000017,-0.7999999999999972,0.36218102436039595,-1.75
10105,2016020250.0,20161117.0,20162017.0,MIN,BOS,-120.0,100.0,1.0,0.0,1.0,REG,-2.7900000000000063,0.8545687551116343,0.8638222615231617,-4.140000000000001,1.26959511219895,1.3456200068776125,0.6800000000000002,7.289999999999999,4.030000000000001,5.0,-5.540000000000006,-6.59,1.8059869218585476,2.219999999999999
10106,2016020251.0,20161117.0,20162017.0,DAL,COL,-160.0,140.0,3.0,2.0,1.0,REG,-0.18999999999999773,0.5560313264077645,-0.27917364600782424,-0.4199999999999946,0.7981905374005047,-0.38350515463917434,0.03000000000000025,1.6499999999999986,0.5300000000000011,10.0,-0.6799999999999997,-0.8500000000000014,1.9066781642234367,-1.3799999999999955
10107,2016020252.0,20161117.0,20162017.0,VAN,ARI,-123.0,103.0,3.0,2.0,1.0,OT,5.330000000000005,-1.0484177386961946,-0.7671286355650953,4.739999999999995,-1.3124728378965667,-1.005599581484562,-0.29000000000000004,-4.060000000000002,-3.0700000000000074,1.0,4.640000000000001,5.409999999999997,-2.1379438557352666,-0.9299999999999926
10108,2016020253.0,20161117.0,20162017.0,ANA,NJD,-160.0,140.0,3.0,2.0,1.0,REG,0.5,0.4469244878452038,-0.7023803718213317,0.2600000000000051,0.8126488895719673,-1.0744703880523399,-0.07999999999999963,-1.3999999999999986,0.060000000000002274,-9.0,-1.0700000000000003,-1.2699999999999996,1.664322550398499,-1.6000000000000085
10109,2016020254.0,20161117.0,20162017.0,LAK,EDM,-130.0,110.0,4.0,2.0,1.0,REG,4.400000000000006,-1.145869240491785,-0.22027437284575235,4.240000000000002,-1.3809120408925137,-0.47516478233939896,-0.33000000000000007,-3.559999999999995,-2.8100000000000023,-2.0,4.580000000000005,4.910000000000004,-1.4272786669881103,-1.3700000000000045
10110,2016020255.0,20161118.0,20162017.0,NYI,PIT,130.0,-150.0,2.0,3.0,0.0,OT,-3.3800000000000026,-0.46781355093656674,0.03500262760771644,-2.6400000000000006,-0.49344590091090834,-0.27836842947618345,-0.5899999999999999,-5.600000000000001,-1.9499999999999886,-6.0,-0.1699999999999946,-3.552713678800501e-15,-0.7409920439547704,-1.2000000000000028
10111,2016020256.0,20161118.0,20162017.0,WSH,DET,-215.0,185.0,1.0,0.0,1.0,REG,5.720000000000006,0.035813018346318726,0.46269453329289556,5.189999999999998,0.16492995652473974,0.6194095977377745,0.8400000000000003,8.370000000000005,0.8700000000000045,-7.0,5.840000000000003,6.710000000000001,0.35931174089068874,0.5100000000000051
10112,2016020257.0,20161118.0,20162017.0,CBJ,NYR,102.0,-122.0,4.0,2.0,1.0,REG,-2.230000000000004,-1.630641899919745,0.12841581799409862,-4.839999999999996,-1.719022826542689,0.4795656900593914,-1.0100000000000002,-6.700000000000003,-1.7399999999999949,-12.0,-4.479999999999997,-5.280000000000001,-2.1410363515626667,0.39000000000000057
10113,2016020258.0,20161118.0,20162017.0,CAR,MTL,-110.0,-110.0,3.0,2.0,1.0,REG,6.07,-1.6307035066553275,-2.377501725327813,5.0,-2.4709084084084094,-2.712737934351883,-1.5300000000000002,-14.439999999999998,-7.430000000000007,19.0,5.729999999999997,6.609999999999999,-3.1684822777081525,-4.25
10114,2016020259.0,20161118.0,20162017.0,CGY,CHI,135.0,-155.0,2.0,3.0,0.0,REG,-0.7199999999999989,-1.4790315974932189,-1.4111730965663538,0.19000000000000483,-2.17950096681617,-1.9929878187602612,-1.58,-14.79,-6.36999999999999,-20.0,1.8100000000000023,2.0600000000000023,-2.7893420508477913,-3.5700000000000074
10115,2016020260.0,20161119.0,20162017.0,PHI,TBL,102.0,-122.0,0.0,3.0,0.0,REG,1.4799999999999969,-0.4048831037887113,-1.3848974464011787,3.210000000000001,-0.4023511957858758,-2.537814308642572,-0.7399999999999998,-6.700000000000003,-4.1200000000000045,-4.0,3.3200000000000003,3.629999999999999,0.148850543028832,-4.269999999999996
10116,2016020261.0,20161119.0,20162017.0,LAK,NJD,-133.0,113.0,4.0,2.0,1.0,REG,5.449999999999996,-0.6384153641222787,-1.088507211867984,4.630000000000003,-0.39250353606789246,-1.7451897140802086,-0.3999999999999999,-4.469999999999999,-2.7299999999999898,-5.0,3.5900000000000034,3.8000000000000007,0.06944150698645069,-2.7900000000000063
10117,2016020262.0,20161119.0,20162017.0,BOS,WPG,-162.0,142.0,4.0,1.0,1.0,REG,2.019999999999996,-1.2761832656526029,1.0376812770837351,2.469999999999999,-1.795263559969442,1.378299120234605,0.06000000000000005,0.6300000000000026,-0.8100000000000023,-11.0,3.270000000000003,3.879999999999999,-2.5440165647749535,1.730000000000004
10118,2016020263.0,20161119.0,20162017.0,BUF,PIT,149.0,-169.0,1.0,1.0,1.0,OT,-1.8699999999999974,-1.4270821724432559,0.19033970490280883,-3.4200000000000017,-1.926605504587156,0.6684491978609652,-0.7900000000000005,-9.130000000000003,-2.230000000000004,0.0,-1.8100000000000023,-2.009999999999998,-2.81804085485067,0.5900000000000034
10119,2016020264.0,20161119.0,20162017.0,MTL,TOR,-179.0,159.0,2.0,1.0,1.0,REG,-1.2199999999999989,0.4178877672853576,1.6203065081248136,-1.0,0.8933514520106698,1.8910963006384285,1.0399999999999996,9.619999999999997,4.050000000000011,-18.0,-1.6499999999999986,-1.8300000000000054,1.132006828421908,2.9200000000000017
10120,2016020265.0,20161119.0,20162017.0,OTT,FLA,-115.0,-105.0,1.0,4.0,0.0,REG,-5.809999999999995,-0.8560447239692521,1.5770474895691722,-3.490000000000002,-1.051720694934434,1.4221478615497274,-0.21999999999999997,-2.759999999999998,-0.10999999999999943,-9.0,-1.759999999999998,-2.030000000000001,-1.9075976703095354,1.7999999999999972
10121,2016020266.0,20161119.0,20162017.0,DAL,EDM,-130.0,110.0,2.0,5.0,0.0,REG,-3.8699999999999974,0.06051214218801837,-0.22888086163791455,-3.1600000000000037,0.12716354645001815,-0.5604919739486292,-0.5500000000000003,-4.619999999999997,-0.4900000000000091,7.0,-3.5400000000000063,-4.23,0.8188502673796796,-1.3200000000000074
10122,2016020267.0,20161119.0,20162017.0,STL,NSH,-128.0,108.0,3.0,1.0,1.0,REG,2.5,-0.4352576148232312,-1.022385613930099,3.5,-0.717479706464328,-1.4978000120547286,-0.5100000000000002,-4.960000000000001,-2.7299999999999898,-15.0,2.530000000000001,2.7600000000000016,-0.9879411943381322,-1.75
