,game_id,full_date,home_team,away_team,Open,goal_difference,won,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,VGK,WPG,WSH,goalsAgainst_cumul_sum,goalsFor_cumul_sum,goalsDiff_cumul_sum,goalsFor%_cumul_avg,pp%_cumul_avg,pk%_cumul_avg,sh%_cumul_avg,sv%_cumul_avg,PDO_cumul_avg,fenwickPercentage_cumul_avg,win%_last_10_games,win%_cumul
992,2018020994,20190301,NYR,MTL,100,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-58.0,-35.0,23.0,0.05516323472052653,-0.06792328042328044,0.0019427910052910446,-0.0042377569850966385,0.02016773450632614,0.01592997752122982,-0.007467733134920607,0.0,0.024801587301587324
993,2018020993,20190301,NYI,WSH,-110,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,23.0,-14.0,-37.0,-0.04244784990692724,0.06851733749055179,0.00932510156840527,0.010527150199976118,-0.007753579071444472,0.0027735711285323816,-0.05439260912698396,0.0,-0.10267857142857145
994,2018020995,20190301,CAR,STL,-119,3.0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.0,3.0,5.0,-0.03390740652645419,0.022134038800705413,0.007823129251700589,-0.004713675480335813,-0.0031257161284627966,-0.007839391608798874,0.030158730158730163,0.0,0.0
995,2018020996,20190301,WPG,NSH,-115,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,15.0,16.0,1.0,-0.020799548775739085,0.12712842712842717,-0.030169037311894464,0.014785934415353919,-0.0022763519831697776,0.012509582432183475,-0.03717950937950937,-0.10000000000000003,0.026695526695526772
996,2018020997,20190301,ANA,VGK,135,-3.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.0,-53.0,-65.0,-0.09576164287101802,-0.06306891025641023,-0.031932806776556855,-0.007423326639347416,0.006907469775088049,-0.0005158568642599226,-0.08872206730769244,-0.10000000000000003,-0.1480769230769231
997,2018020998,20190301,SJS,COL,-195,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-3.0,18.0,21.0,0.034767792970918365,-0.026041666666666602,0.05258556547619031,0.008026269315441592,-0.007164719044504442,0.0008615502709371503,0.04257968749999996,0.0,0.140625
998,2018020999,20190302,CBJ,EDM,-240,-4.0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.0,25.0,49.0,0.05013131778384772,-0.07630621693121695,0.088561153628118,0.00551723730626498,0.003534422589033026,0.009051659895298103,0.036308333333333664,0.3,0.1495535714285714
999,2018021000,20190302,LAK,CHI,-105,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.0,-64.0,-27.0,-0.03674853792041305,-0.06835937499999997,-0.00885416666666683,-0.026199676108396866,0.004047724221001414,-0.022151951887395493,0.0020125000000000837,-0.6,-0.0625
1000,2018021005,20190302,FLA,CAR,-115,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61.0,4.0,65.0,0.0784206458605497,0.09818166208791204,-0.024358974358974383,0.0008858415724909835,0.025163190400787294,0.026049031973278125,0.03376187499999972,0.5,0.20913461538461536
1001,2018021004,20190302,TBL,OTT,-450,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,-16.0,47.0,63.0,0.05658321713009229,0.03828124999999999,-0.03939732142857166,0.022602639824943135,0.007847688987497325,0.030450328812440808,0.005484375000000041,0.2,0.140625
