,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH,goalsAgainst_cumul_sum,goalsFor_cumul_sum,goalsDiff_cumul_sum,goalsFor%_cumul_avg,pp%_cumul_avg,pk%_cumul_avg,sh%_cumul_avg,sv%_cumul_avg,fenwickPercentage_cumul_avg,PDO_cumul_avg,last_10_games_win%,win%
997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,84.0,4.0,0.538154269972452,0.11414141414141415,0.8313131313131316,0.09538495851782494,0.9126599168451763,0.5182515151515151,1.0080448753630014,0.8333333333333334,0.5454545454545454
998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,88.0,7.0,0.5167716122261578,0.16522366522366524,0.8054834054834056,0.09418788186518336,0.9085658404558814,0.5205333333333334,1.0027537223210647,0.75,0.5151515151515151
999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,75.0,-4.0,0.45892857142857146,0.18683035714285715,0.8942708333333333,0.07642126719486862,0.9157137131053366,0.5189218749999999,0.9921349803002054,0.6,0.46875
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,80.0,-4.0,0.5171115921115921,0.17907647907647908,0.7861111111111112,0.08962665111866389,0.8968010248822953,0.5448303030303029,0.9864276760009592,0.5,0.45454545454545453
1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,105.0,7.0,0.49231929686475145,0.18217893217893222,0.8039682539682541,0.12020548900935987,0.8982203251532958,0.46471515151515147,1.0184258141626557,0.25,0.42424242424242425
1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,99.0,15.0,0.5453539726266999,0.1927128427128427,0.782828282828283,0.11171860642148286,0.9101383880265735,0.4812030303030303,1.021856994448056,0.2,0.6666666666666666
1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,104.0,36.0,0.6313920454545454,0.1531498015873016,0.8364583333333333,0.1065430712414256,0.920395860116919,0.538859375,1.0269389313583446,0.3333333333333333,0.78125
1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,87.0,10.0,0.5390207882395381,0.17511160714285717,0.8569940476190477,0.09751219671538869,0.9136907742076397,0.49419375,1.0112029709230284,1.0,0.625
1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,86.0,-10.0,0.4717352092352092,0.16718750000000002,0.8387896825396827,0.0996149804956301,0.8958870252121854,0.4815718750000001,0.9955020057078157,0.5,0.46875
1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,75.0,-13.0,0.4294234360410831,0.13781512605042015,0.8546218487394958,0.08463939299004469,0.908546259455812,0.47247058823529414,0.9931856524458564,0.4,0.38235294117647056
1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,89.0,-16.0,0.4344820977633477,0.21383928571428568,0.7788690476190477,0.11126342988792451,0.8782844670211486,0.48727500000000007,0.9895478969090732,0.4,0.40625
1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,90.0,20.0,0.5903442911255411,0.2046875,0.9255208333333333,0.09008764076285176,0.916610813937245,0.5420437500000002,1.0066984547000966,0.5,0.65625
1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,86.0,-15.0,0.44464340373431294,0.31168831168831174,0.836002886002886,0.09032397150196723,0.8864012646330846,0.5031515151515151,0.9767252361350516,0.0,0.3939393939393939
1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,97.0,-13.0,0.4753809099397335,0.22331932773109245,0.8073529411764708,0.09452292737269398,0.8850235174839934,0.4982735294117648,0.9795464448566873,0.6,0.47058823529411764
